id,name,price,brand,code,imag
1812,Air Jordan 33 Future Of Flight,175,Jordan,AQ8830 100,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-33-future-of-flight-01-AQ8830_100.jpg
1813,React Element 87 Moss,490,Nike,AQ1090 300,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-react-element-87-moss-01-AQ1090_300.jpg
1814,Air Jordan 6 Retro All Star,63,Jordan,907961 015,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-6-all-star-01-907961_015.jpg
1815,Air Jordan 13 Retro Grade School Lucky Green,110,Jordan,DB6536 113,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-13-Retro-Grade-School-Lucky-Green-01-DB6536_113.jpg
1816,Air Jordan 8 Retro GS Playoffs 2013,73,Jordan,305368 061,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-8-gs-playoffs-2013-01-305368_061.jpg
1817,Air Jordan 7 Retro GS French Blue,95,Jordan,304774 107,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-7-gs-french-blue-01-304774_107.jpg
1818,SB Dunk High Pro Camo,340,Nike,BQ6826 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-sb-dunk-high-pro-camo-01-BQ6826_001.jpg
1819,Air Jordan 1 Mid SE Triple Black Quilted,130,Jordan,DB6078 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-1-Mid-SE-Triple-Black-Quilted-01-DB6078_001.jpg
1820,Air Force 1 Low Drew League,146,Nike,CZ4272 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-force-1-drew-league-01-cz4272_100.jpg
1821,Space Hippie 04 Wmns Summit White,142,Nike,CD3476 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-space-hippie-04-wmns-summit-white-01-cd3476_100.jpg
1822,Air Jordan 14 Toro 2020,174,Jordan,487471 006,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-14-Toro-01-487471_006.jpg
1823,Air Jordan 1 High Flynit Bred,250,Jordan,919704 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Jordan-Air-Jordan-1-High-Flynit-Bred-02-919704_001.jpg
1824,Air Force 1 React All Star,217,Nike,CV2218 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/Nike-Air-Force-1-React-All-Star-01-CV2218_001.jpg
1825,Kobe 10 Low Hot Lava,89,Nike,705317 616,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-kobe-10-low-hot-lava-01-705317_616.jpg
1826,Yeezy 700 V3 Kids Arzareth,647,Adidas,G54851,https://sneakercon-prodg.s3.amazonaws.com/pictures/adidas-Yeezy-700-V3-Pre-School-Arzareth-01-G54851.jpg
1827,KD 13 Aunt Peral,200,Nike,DC0011 600,https://sneakercon-prodg.s3.amazonaws.com/pictures/KD-13-Aunt-Peral-01-DC0011_600.jpg
1828,Air Force 1 07 Premium Popcorn,199,Nike,CW2919 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/Nike-Air-Force-1-07-Premium-Popcorn-01-CW2919_100.jpg
1830,Air Force 1 Low Orange Skeleton,190,Nike,CU8067 800,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-force-1-low-orange-skeleton-01-cu8067_800.jpg
1831,Lebron 10 PRISM,125,Nike,541100 004,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-lebron-10-prism-01-541100_004.jpg
